Lead Time   (days) (L),Z = (L-H)/σ,Probability of Lead days to occur,Reorder Level (2015),Reorder Level(2016),Reorder Level (2017),Maximum Inventory Level(2015),Maximum Inventory Level 1(2016),Maximum Inventory Level(2017)
5,-1.67,0.0247,407.671232876712,426.229508196721,447.123287671232,2041.47123287671,2079.02950819672,2117.92328767123
6,-1.33,0.0443,489.205479452054,511.475409836065,536.547945205479,1959.93698630136,1993.78360655737,2028.49863013698
7,-1,0.0669,570.739726027397,596.721311475409,625.972602739726,1878.40273972602,1908.53770491803,1939.07397260273
8,-0.67,0.0927,652.273972602739,681.967213114754,715.397260273972,1796.86849315068,1823.29180327868,1849.64931506849
9,-0.33,0.1193,733.808219178082,767.213114754098,804.821917808219,1715.33424657534,1738.04590163934,1760.22465753424
10,0,0.1293,815.342465753424,852.459016393442,894.246575342465,1633.8,1652.8,1670.8
11,0.33,0.1293,896.876712328767,937.704918032787,983.671232876712,1552.26575342465,1567.55409836065,1581.37534246575
12,0.67,0.1193,978.410958904109,1022.95081967213,1073.09589041095,1470.73150684931,1482.30819672131,1491.9506849315
13,1,0.0927,"1059.945205479452,",1108.19672131147,1162.5205479452,1389.19726027397,1397.06229508196,1402.52602739726
14,1.33,0.0669,1141.47945205479,1193.44262295081,1251.94520547945,1307.66301369863,1311.81639344262,1313.10136986301
15,1.67,0.0443,1223.01369863013,1278.68852459016,1341.36986301369,1226.12876712328,1226.57049180327,1223.67671232876
16,2,0.0247,1304.54794520547,1363.9344262295,1430.79452054794,1144.59452054794,1141.32459016393,1134.25205479452
,,,,,,,,
,,,,,,,,
,5,,,,,,,
